"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","sample_size","grid_type"
0,0.12,600,315,0.5,0.5,0,0,0,0.0194312287666293,0.000122160664819945,Inf,159.062893078303,0.999999999999,0.993713178600947,0.202586776874845,0.114783070826893,0.087803706047952,NA,0.166822715819321,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",16,600,"sample_size"
0,0.12,600,300,0.5,0.5,0,0,0,0.0142379333326275,1e-04,Inf,142.379333326275,0.999999999999,0.992976508762628,0.0608477113117604,-0.0291818217319666,0.090029533043727,NA,0.150704863850282,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",17,600,"sample_size"
0,0.12,600,295,0.5,0.5,0,0,0,0.0132809626319905,9.35501209352325e-05,Inf,141.966279671464,0.999999999999,0.992956073778124,0.181017916401093,0.0864619441973704,0.0945559722037226,NA,0.1507210090602,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",18,600,"sample_size"
0,0.12,600,283,0.5,0.5,0,0,0,0.0103016103677324,7.96992705669277e-05,Inf,129.256018210124,0.999999999999,0.99226341632794,0.224103347478205,0.138014833542855,0.0860885139353506,NA,0.136101205724066,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",19,600,"sample_size"
0,0.12,600,300,0.5,0.5,0,0,0,0.0154961321137804,1e-04,Inf,154.961321137804,0.999999999999,0.993546776752692,0.193574056301974,0.101987328063634,0.0915867282383398,NA,0.161108129963161,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",20,600,"sample_size"
0,0.12,600,284,0.5,0.5,0,0,0,0.0122585018367386,8.07723121294665e-05,Inf,151.766137597869,0.999999999999,0.993410914873187,0.0237108004893798,-0.0769107402201408,0.100621540709521,NA,0.155226469613978,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",21,600,"sample_size"
0,0.12,600,304,0.5,0.5,0,0,0,0.0140475420447996,0.000105478451424397,Inf,133.179259413647,0.999999999999,0.992491323315637,0.116426180835357,0.0308947647925024,0.0855314160428551,NA,0.142814138078304,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",22,600,"sample_size"
0,0.12,600,286,0.5,0.5,0,0,0,0.0121827228139644,8.29607691995619e-05,Inf,146.849202719648,0.999999999999,0.993190293297614,-0.0373215366074573,-0.116720931970342,0.0793993953628842,NA,0.138452833089313,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",23,600,"sample_size"
0,0.12,600,300,0.5,0.5,0,0,0,0.0126938295710179,1e-04,Inf,126.938295710179,0.999999999999,0.992122156718701,-0.047535879583422,-0.125763044353118,0.0782271647696964,NA,0.132240377485307,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",24,600,"sample_size"
0,0.12,600,325,0.5,0.5,0,0,0,0.0183832686992014,0.000139669421487603,Inf,131.619852816767,0.999999999999,0.992402361964406,0.122968783265236,0.0365751753459165,0.0863936079193196,NA,0.167470245575625,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",25,600,"sample_size"
0,0.12,600,309,0.5,0.5,0,0,0,0.0163619701809683,0.000112753746413009,Inf,145.112430420144,0.999999999999,0.993108791596249,0.0368979324434364,-0.0604444957633172,0.0973424282067537,NA,0.17033305373142,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",26,600,"sample_size"
0,0.12,600,284,0.5,0.5,0,0,0,0.0126640694186701,8.07723121294665e-05,Inf,156.787258960365,0.999999999999,0.993621930719174,0.0295896445837398,-0.0779681291836765,0.107557773767416,NA,0.157459942633194,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",27,600,"sample_size"
0,0.12,600,304,0.5,0.5,0,0,0,0.0146201189801498,0.000105478451424397,Inf,138.60763769962,0.999999999999,0.992785390353689,0.0875463038047134,0.0051200524398225,0.0824262513648909,NA,0.156257872446779,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",28,600,"sample_size"
0,0.12,600,283,0.5,0.5,0,0,0,0.0107972584820378,7.96992705669277e-05,Inf,135.474997515451,0.999999999999,0.992618564175386,0.109273633321269,0.0170715300381121,0.0922021032831568,NA,0.13822245283767,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",29,600,"sample_size"
