"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","epsilon_fraction","grid_type"
0.001,0.12,1800,890,0.499075672208134,0.500704378706621,0.000338994037417106,0.00100076917354925,9.57965354821316e-07,0.0135240947134305,9.5649337013243e-07,14117.519642402,7064.18714446677,0.999929166027367,0.999858440896376,0.167345058939158,0.0809423457603647,0.0864027131787937,0.138688857839293,0.138683953011329,TRUE,"unstable_good_overlap_warning",26,1e-06,"epsilon_fraction"
0.001,0.12,1800,896,0.49913362873352,0.500876142285832,0.000339040614718622,0.000973638661098964,9.31334200699894e-07,0.0133785516604546,9.8244880921323e-07,14364.9311390054,6990.63143060398,0.99993038602202,0.999856951405617,0.0589297699325628,-0.0245385451954201,0.0834683151279829,0.140076749462899,0.140071605769163,TRUE,"unstable_good_overlap_warning",27,1e-06,"epsilon_fraction"
0.001,0.12,1800,940,0.499176598168348,0.500797582494851,0.000324377615678162,0.00100323005268795,1.20245162052145e-06,0.0182094250782257,1.19472113130565e-06,15143.5823009072,7596.20893585858,0.999933965426401,0.999868355385108,0.0635321582872536,-0.0335264012530907,0.0970585595403443,0.168526989015671,0.168521460028491,TRUE,"unstable_good_overlap_warning",28,1e-06,"epsilon_fraction"
0.001,0.12,1800,891,0.499092020853209,0.50068866728882,0.000352284252047808,0.00101195976579472,9.83910474607206e-07,0.0146167236766353,9.60791367392037e-07,14855.7455722489,7516.1772159421,0.999932685976942,0.99986695364262,-0.00891118987163619,-0.106899172705097,0.0979879828334611,0.151832688733139,0.151827698156625,TRUE,"unstable_good_overlap_warning",29,1e-06,"epsilon_fraction"
0.001,0.12,1800,905,0.499079641221239,0.500805542583655,0.000337732124345402,0.000985671775351367,9.93375554651396e-07,0.0150797645081501,1.02246588625548e-06,15180.3257464313,7480.63027286814,0.999934125260768,0.999866321424329,0.104426712540815,0.0137608099960005,0.0906659025448149,0.149789387253931,0.149784308685718,TRUE,"unstable_good_overlap_warning",30,1e-06,"epsilon_fraction"
0.005,0.12,1800,931,0.495124880299673,0.504330674269064,0.00159185470651346,0.00513501010747699,3.02492523681777e-05,0.0151995104486709,1.14718124888196e-06,502.475574062809,484.115827742041,0.998009853510063,0.997934378628635,0.198763946621223,0.121976155876397,0.0767877907448261,0.147028341193932,0.147022781551213,TRUE,"unstable_good_overlap_warning",1,1e-06,"epsilon_fraction"
0.005,0.12,1800,951,0.496310779098738,0.504456872195312,0.00165752312458722,0.00501069473823653,3.15130732834315e-05,0.0167477581243165,1.25514779805494e-06,531.454294339549,511.097568667797,0.998118370647014,0.99804342641933,0.0843344868867453,-0.00329704927777819,0.0876315361645235,0.164912085956139,0.164905894585811,TRUE,"unstable_good_overlap_warning",2,1e-06,"epsilon_fraction"
0.005,0.12,1800,884,0.493722569575005,0.504646859215084,0.00171588779599824,0.00508450350959257,2.4083710269999e-05,0.0137936522587607,9.31593159770035e-07,572.73784247203,551.408552668036,0.998254000476581,0.998186462659744,0.0696955590523634,-0.027294564969873,0.0969901240222364,0.150600864574874,0.150595769966866,TRUE,"unstable_good_overlap_warning",3,1e-06,"epsilon_fraction"
0.005,0.12,1800,905,0.495341725207029,0.504163237806413,0.00168146144851655,0.00507711265814218,2.63568056107734e-05,0.0139253578968747,1.02249024427937e-06,528.340122187749,508.609058852216,0.998107279841139,0.998033853344538,0.07689005647526,-0.00490982792968597,0.081799884404946,0.144551542435544,0.144546225317451,TRUE,"unstable_good_overlap_warning",4,1e-06,"epsilon_fraction"
0.005,0.12,1800,891,0.494885436321789,0.5040479674813,0.00174590014365616,0.00502161138844821,2.42283273030938e-05,0.0152334074927658,9.60809372373521e-07,628.743672734708,604.761000308606,0.998409526738217,0.998346454219948,0.0534002793556471,-0.0355639849765679,0.0889642643322149,0.152967404020934,0.152962572240231,TRUE,"unstable_good_overlap_warning",5,1e-06,"epsilon_fraction"
0.005,0.12,1800,932,0.495429584202813,0.504368594814475,0.00171630289834002,0.00510410055440074,3.00324808682843e-05,0.0157760067416655,1.15279680903647e-06,525.298153384514,505.879950946804,0.998096319216892,0.998023246428074,0.0513148940839449,-0.0346197304988911,0.085934624582836,0.156992331531191,0.156986584552044,TRUE,"unstable_good_overlap_warning",6,1e-06,"epsilon_fraction"
